"Year","State","Population","Property.crime.total","Burglary","Larceny.theft","Motor.vehicle.theft"
1993,"Georgia",6917000,378348,90423,246849,41076
1994,"Georgia",7055000,376926,81406,256208,39312
1995,"Georgia",7201000,385005,76324,264872,43809
1996,"Georgia",7353000,416986,81968,288803,46215
1997,"Georgia",7486000,388155,81320,262263,44572
1998,"Georgia",7642000,373717,75720,255459,42538
1999,"Georgia",7788240,359383,71429,247834,40120
2000,"Georgia",8186453,347630,68488,240440,38702
2001,"Georgia",8405677,347872,71799,238484,37589
2002,"Georgia",8544005,346559,73932,234591,38036
2003,"Georgia",8676460,369589,79001,247196,43392
2004,"Georgia",8918129,376656,82992,249426,44238
2005,"Georgia",9132553,378534,84463,249594,44477
2006,"Georgia",9363941,362712,85140,234445,43127
2007,"Georgia",9544750,371248,90294,238436,42518
2008,"Georgia",9685744,387917,100564,247709,39644
2009,"Georgia",9829211,360985,98606,229216,33163
2010,"Georgia",9712157,353449,96947,226161,30341
2011,"Georgia",9812460,357235,96014,231543,29678
2012,"Georgia",9919945,338329,86789,223004,28536
1960,"Hawaii",632772,14405,3328,9369,1708
1961,"Hawaii",657000,16410,3909,10498,2003
1962,"Hawaii",693000,17391,4485,10693,2213
1963,"Hawaii",694000,17430,4944,10812,1674
1964,"Hawaii",701000,18984,5880,11301,1803
1965,"Hawaii",711000,22633,6974,13078,2581
1966,"Hawaii",718000,24555,8111,14152,2292
1967,"Hawaii",739000,26895,8516,15392,2987
1968,"Hawaii",778000,33868,10610,19323,3935
1969,"Hawaii",794000,35307,10360,20692,4255
1970,"Hawaii",769913,39599,11211,23914,4474
1971,"Hawaii",789000,41240,11339,25425,4476
1972,"Hawaii",809000,36057,10805,22029,3223
1973,"Hawaii",832000,39962,12775,23552,3635
1974,"Hawaii",847000,49665,15117,29584,4964
1975,"Hawaii",865000,50241,15802,29909,4530
1976,"Hawaii",887000,54042,16690,32544,4808
1977,"Hawaii",895000,56576,17108,35088,4380
1978,"Hawaii",897000,61588,17381,39087,5120
1979,"Hawaii",915000,63664,16538,40580,6546
1980,"Hawaii",964680,69291,17822,45564,5905
1981,"Hawaii",979000,61636,16726,40699,4211
1982,"Hawaii",994000,62906,16477,42248,4181
1983,"Hawaii",1023000,56853,13636,38920,4297
1984,"Hawaii",1039000,54573,12609,38329,3635
1985,"Hawaii",1054000,52501,12164,37357,2980
1986,"Hawaii",1062000,57626,14218,39922,3486
1987,"Hawaii",1083000,60157,12515,43678,3964
1988,"Hawaii",1093000,62650,13726,44946,3978
1989,"Hawaii",1112000,66723,14939,47374,4410
1990,"Hawaii",1108229,64563,13611,46735,4217
1991,"Hawaii",1135000,65020,14011,47195,3814
1992,"Hawaii",1160000,67901,13006,50544,4351
1993,"Hawaii",1172000,70505,13310,51912,5283
1994,"Hawaii",1179000,75672,14029,55260,6383
1995,"Hawaii",1187000,81938,13832,59907,8199
1996,"Hawaii",1184000,74639,12781,54701,7157
1997,"Hawaii",1187000,68193,12741,48984,6468
1998,"Hawaii",1193000,60677,11169,43914,5594
1999,"Hawaii",1185497,54539,9421,40458,4660
2000,"Hawaii",1211537,60033,10665,43254,6114
2001,"Hawaii",1227024,62830,11162,44925,6743
2002,"Hawaii",1240663,71976,12722,49344,9910
2003,"Hawaii",1248755,65867,11409,44807,9651
2004,"Hawaii",1262124,60525,10827,41078,8620
2005,"Hawaii",1273278,61115,9792,42188,9135
2006,"Hawaii",1285498,54247,8724,37784,7739
2007,"Hawaii",1283388,52866,9089,37494,6283
2008,"Hawaii",1288198,45944,9404,31424,5116
2009,"Hawaii",1295178,47516,9244,33415,4857
2010,"Hawaii",1363359,45667,8706,31681,5280
2011,"Hawaii",1378129,43874,8165,31240,4469
2012,"Hawaii",1392313,42817,7979,31233,3605
1960,"Idaho",667191,11561,2011,8883,667
1961,"Idaho",684000,12516,2203,9540,773
1962,"Idaho",698000,13227,2458,9939,830
1963,"Idaho",713000,13044,2405,9939,700
1964,"Idaho",692000,12955,2285,10000,670
1965,"Idaho",692000,13226,2483,10035,708
1966,"Idaho",694000,13498,2706,10076,716
1967,"Idaho",699000,12843,2837,9217,789
1968,"Idaho",705000,14438,3318,10287,833
1969,"Idaho",718000,18783,4236,13603,944
1970,"Idaho",713008,21615,4803,15784,1028
1971,"Idaho",732000,24758,5430,18109,1219
1972,"Idaho",756000,24773,5705,17678,1390
1973,"Idaho",770000,25361,6536,17231,1594
1974,"Idaho",799000,31155,8004,21441,1710
1975,"Idaho",820000,32287,8717,21741,1829
1976,"Idaho",831000,33604,8615,23076,1913
1977,"Idaho",857000,33320,9005,22279,2036
1978,"Idaho",878000,33174,9117,21917,2140
1979,"Idaho",905000,35766,9729,23577,2460
1980,"Idaho",943629,42169,11691,28243,2235
1981,"Idaho",959000,40733,11255,27423,2055
1982,"Idaho",965000,36902,9958,25256,1688
1983,"Idaho",989000,35872,9206,24979,1687
1984,"Idaho",1001000,34398,8751,24138,1509
1985,"Idaho",1005000,36916,8917,26170,1829
1986,"Idaho",1003000,39964,10065,28081,1818
1987,"Idaho",998000,39342,9748,27923,1671
1988,"Idaho",999000,37345,8691,26893,1761
1989,"Idaho",1014000,37278,8843,26825,1610
1990,"Idaho",1006749,38069,8187,28216,1666
1991,"Idaho",1039000,40578,8582,30143,1853
1992,"Idaho",1067000,39636,7934,30023,1679
1993,"Idaho",1099000,39161,7350,29795,2016
1994,"Idaho",1133000,42954,8147,32597,2210
1995,"Idaho",1163000,47444,9069,35560,2815
1996,"Idaho",1189000,44532,8431,33872,2229
1997,"Idaho",1210000,44388,9175,32784,2429
1998,"Idaho",1229000,42185,8518,31385,2282
1999,"Idaho",1251700,36363,7641,26824,1898
2000,"Idaho",1293953,37961,7330,28545,2086
2001,"Idaho",1320585,38181,7507,28285,2389
2002,"Idaho",1343124,39128,7441,29060,2627
2003,"Idaho",1367034,40042,7837,29559,2646
2004,"Idaho",1395140,38799,7671,28389,2739
2005,"Idaho",1429367,38556,8066,27606,2884
2006,"Idaho",1466465,35135,7545,25154,2436
2007,"Idaho",1499402,34124,7131,24727,2266
2008,"Idaho",1523816,31940,6748,23532,1660
2009,"Idaho",1545801,31220,6682,23066,1472
2010,"Idaho",1571102,31436,6513,23594,1329
2011,"Idaho",1583744,32875,6915,24629,1331
2012,"Idaho",1595728,31651,7186,23101,1364
1960,"Illinois",10081158,199283,58241,105423,35619
1961,"Illinois",10258000,213602,60204,117006,36392
1962,"Illinois",10146000,219393,56377,125306,37710
1963,"Illinois",10182000,229605,55117,135634,38854
1964,"Illinois",10489000,244754,57416,144783,42555
1965,"Illinois",10644000,236638,58566,137634,40438
1966,"Illinois",10722000,256731,60099,152102,44530
1967,"Illinois",10893000,274089,66282,161876,45931
1968,"Illinois",10974000,310546,75013,187133,48400
1969,"Illinois",11047000,333618,81602,199600,52416
1970,"Illinois",11113976,368055,85067,225437,57551
1971,"Illinois",11196000,381567,93682,234618,53267
1972,"Illinois",11251000,369377,95190,224344,49843
1973,"Illinois",11236000,423492,115183,251263,57046
1974,"Illinois",11131000,507254,140717,307382,59155
1975,"Illinois",11145000,560955,157110,337698,66147
1976,"Illinois",11229000,542301,141305,335946,65050
1977,"Illinois",11245000,528191,141346,318062,68783
1978,"Illinois",11243000,555753,151854,333910,69989
1979,"Illinois",11230000,593750,161776,356062,75912
1980,"Illinois",11355062,620107,177099,369319,73689
1981,"Illinois",11455000,609767,173142,366696,69929
1982,"Illinois",11448000,579954,157273,354106,68575
1983,"Illinois",11486000,552857,148445,339061,65351
1984,"Illinois",11511000,527124,135068,324649,67407
1985,"Illinois",11535000,530205,131015,331030,68160
1986,"Illinois",11533000,548311,136306,339418,72587
1987,"Illinois",11582000,535126,130147,342492,62487
1988,"Illinois",11544000,555316,130292,355148,69876
1989,"Illinois",11658000,558803,125441,362556,70806
1990,"Illinois",11430602,567841,121506,372862,73473
1991,"Illinois",11543000,587868,129284,382942,75642
1992,"Illinois",11631000,556900,125306,359618,71976
1993,"Illinois",11697000,544869,118788,360730,65351
1994,"Illinois",11752000,548222,118116,363888,66218
1995,"Illinois",11830000,527572,108555,357143,61874
1996,"Illinois",11847000,524777,108185,358515,58077
1997,"Illinois",11896000,509113,103550,350140,55423
1998,"Illinois",12045000,487915,97792,337191,52932
1999,"Illinois",12128370,463939,86317,320954,56668
2000,"Illinois",12419293,445278,81850,313161,50267
2001,"Illinois",12520227,434648,79158,306757,48733
2002,"Illinois",12586447,430479,81440,304227,44812
2003,"Illinois",12649087,415885,78345,295907,41633
2004,"Illinois",12712016,403486,76088,287025,40373
2005,"Illinois",12765427,394670,77635,277662,39373
2006,"Illinois",12831970,387478,77259,272578,37641
2007,"Illinois",12852548,377322,75524,267911,33887
2008,"Illinois",12901563,378355,78968,266815,32572
2009,"Illinois",12910409,353347,77850,248821,26676
2010,"Illinois",12841980,349064,77472,242681,28911
2011,"Illinois",12859752,344468,77719,237362,29387
2012,"Illinois",12875255,332013,71101,235222,25690
1960,"Indiana",4662498,68496,21486,39196,7814
1961,"Indiana",4711000,72871,22162,42379,8330
1962,"Indiana",4715000,80810,22183,49473,9154
1963,"Indiana",4694000,91417,25294,56127,9996
1964,"Indiana",4825000,98778,25797,62098,10883
1965,"Indiana",4885000,99334,27178,60113,12043
1966,"Indiana",4918000,107692,30859,63282,13551
1967,"Indiana",5000000,121481,35074,69464,16943
1968,"Indiana",5067000,137739,37693,79174,20872
1969,"Indiana",5118000,147973,41916,85869,20188
1970,"Indiana",5193669,168811,48084,97338,23389
1971,"Indiana",5274000,172758,51104,100414,21240
1972,"Indiana",5291000,167440,50180,97921,19339
1973,"Indiana",5316000,184415,55064,108623,20728
1974,"Indiana",5330000,215524,66870,127706,20948
1975,"Indiana",5311000,243170,73103,149447,20620
1976,"Indiana",5302000,231055,64450,146859,19746
1977,"Indiana",5330000,211190,57894,133179,20117
1978,"Indiana",5374000,215770,59561,134119,22090
1979,"Indiana",5400000,230223,63176,143666,23381
1980,"Indiana",5461103,248619,71720,153297,23602
1981,"Indiana",5466000,229472,63887,147038,18547
1982,"Indiana",5471000,225894,59569,148454,17871
1983,"Indiana",5479000,210725,54147,138929,17649
1984,"Indiana",5498000,199258,51019,128941,19298
1985,"Indiana",5499000,198220,50295,129861,18064
1986,"Indiana",5504000,195233,48802,128404,18027
1987,"Indiana",5531000,209695,52363,137722,19610
1988,"Indiana",5575000,210177,52137,138335,19705
1989,"Indiana",5593000,225592,54201,149514,21877
1990,"Indiana",5544159,233376,52297,156741,24338
1991,"Indiana",5610000,241930,54814,161039,26077
1992,"Indiana",5662000,236584,53907,157181,25496
1993,"Indiana",5713000,227149,48677,154016,24456
1994,"Indiana",5752000,233975,48921,160043,25011
1995,"Indiana",5803000,238317,47676,163618,27023
1996,"Indiana",5841000,231376,45782,160777,24817
1997,"Indiana",5864000,231723,48182,158442,25099
1998,"Indiana",5899000,220529,46552,152790,21187
1999,"Indiana",5942901,201547,42463,138794,20290
2000,"Indiana",6080485,206905,41108,144707,21090
2001,"Indiana",6126743,211548,42758,147291,21499
2002,"Indiana",6156913,208965,42605,146073,20287
2003,"Indiana",6199571,208039,41582,145686,20771
2004,"Indiana",6226537,211929,42168,148670,21091
2005,"Indiana",6266019,216778,43756,151278,21744
2006,"Indiana",6313520,217783,45538,150655,21590
2007,"Indiana",6345289,213887,46485,147999,19403
2008,"Indiana",6376792,213639,48805,147334,17500
2009,"Indiana",6423113,199907,48880,137190,13837
2010,"Indiana",6490622,199274,48570,137204,13500
2011,"Indiana",6516353,206016,50571,140630,14815
2012,"Indiana",6537334,198032,47612,136759,13661
1960,"Iowa",2757537,30335,6375,21865,2095
1961,"Iowa",2779000,29392,6356,21096,1940
1962,"Iowa",2777000,31031,7326,21668,2037
1963,"Iowa",2780000,32155,7516,22374,2265
1964,"Iowa",2756000,36376,8004,25733,2639
1965,"Iowa",2760000,37507,8398,26220,2889
1966,"Iowa",2747000,43941,9245,31074,3622
1967,"Iowa",2753000,50176,11881,34022,4273
1968,"Iowa",2748000,57026,13027,39476,4523
1969,"Iowa",2781000,60724,13603,42184,4937
1970,"Iowa",2825041,68529,14331,49253,4945
1971,"Iowa",2852000,72060,15160,52528,4372
1972,"Iowa",2883000,70471,15037,50560,4874
1973,"Iowa",2904000,79260,18412,55310,5538
1974,"Iowa",2855000,94005,22597,65153,6255
1975,"Iowa",2870000,108142,23492,78057,6593
1976,"Iowa",2870000,112463,23737,82788,5938
1977,"Iowa",2879000,107027,23392,77304,6331
1978,"Iowa",2896000,110589,25214,78567,6808
1979,"Iowa",2903000,119620,26768,85023,7829
1980,"Iowa",2907804,132200,31390,93605,7205
1981,"Iowa",2897000,130723,30925,93333,6465
1982,"Iowa",2905000,115148,27535,82568,5045
1983,"Iowa",2905000,108587,26599,77402,4586
1984,"Iowa",2910000,104785,25357,74818,4610
1985,"Iowa",2884000,107607,26349,76835,4423
1986,"Iowa",2851000,111633,27255,79864,4514
1987,"Iowa",2834000,110781,26010,80489,4282
1988,"Iowa",2834000,108254,24211,79447,4596
1989,"Iowa",2840000,108349,24052,79801,4496
1990,"Iowa",2776755,105550,22448,78384,4718
1991,"Iowa",2795000,107069,23267,79030,4772
1992,"Iowa",2812000,103459,21197,77788,4474
1993,"Iowa",2814000,99080,20562,73148,5370
1994,"Iowa",2829000,94475,18872,70507,5096
1995,"Iowa",2842000,106504,21527,78645,6332
1996,"Iowa",2852000,96296,18954,71893,5449
1997,"Iowa",2852000,99986,22003,71301,6682
1998,"Iowa",2862000,91272,19282,66016,5974
1999,"Iowa",2869413,84463,17012,62316,5135
2000,"Iowa",2926324,86834,16342,65118,5374
2001,"Iowa",2931967,88634,16885,66244,5505
2002,"Iowa",2935840,92877,18643,68411,5823
2003,"Iowa",2941976,87554,17515,64400,5639
2004,"Iowa",2952904,85775,17928,62214,5633
2005,"Iowa",2965524,84370,18147,60723,5500
2006,"Iowa",2982085,84202,18160,60998,5044
2007,"Iowa",2988046,79133,17176,57018,4939
2008,"Iowa",3002555,73273,16598,52299,4376
2009,"Iowa",3007856,70080,16419,49757,3904
2010,"Iowa",3050202,68740,16746,48194,3800
2011,"Iowa",3064097,72043,17573,50472,3998
2012,"Iowa",3074186,69839,17096,48720,4023
1960,"Kansas",2178611,29120,7705,19515,1900
1961,"Kansas",2194000,29918,7275,20763,1880
1962,"Kansas",2219000,33314,7531,23514,2269
1963,"Kansas",2225000,34704,8234,24068,2402
1964,"Kansas",2225000,41345,9626,28613,3106
1965,"Kansas",2234000,42070,10443,28886,2741
1966,"Kansas",2250000,44779,10712,30742,3325
1967,"Kansas",2275000,53047,13610,35231,4206
1968,"Kansas",2303000,59264,14178,40353,4733
1969,"Kansas",2321000,68961,16091,47579,5291
1970,"Kansas",2249071,77385,19829,51784,5772
1971,"Kansas",2258000,74079,20064,48511,5504
1972,"Kansas",2258000,72144,20472,46433,5239
1973,"Kansas",2279000,75123,23485,46840,4798
1974,"Kansas",2270000,91347,28797,57134,5416
1975,"Kansas",2267000,101307,31047,64900,5360
1976,"Kansas",2310000,103853,30618,67870,5365
1977,"Kansas",2326000,98948,29549,63716,5683
1978,"Kansas",2348000,99225,30215,63194,5816
1979,"Kansas",2369000,107605,31504,69622,6479
1980,"Kansas",2354783,117492,35826,75268,6398
1981,"Kansas",2381000,119880,36768,77039,6073
1982,"Kansas",2408000,111156,32382,73416,5358
1983,"Kansas",2425000,101928,28318,68735,4875
1984,"Kansas",2438000,97646,25577,67028,5041
1985,"Kansas",2450000,98474,25740,67433,5301
1986,"Kansas",2461000,109607,29229,74029,6349
1987,"Kansas",2476000,112488,28177,78043,6268
1988,"Kansas",2487000,112280,29321,76927,6032
1989,"Kansas",2513000,115146,29871,77802,7473
1990,"Kansas",2477574,117571,28901,80361,8309
1991,"Kansas",2495000,125616,32601,84258,8757
1992,"Kansas",2523000,121334,32639,80526,8169
1993,"Kansas",2531000,113360,28655,76538,8167
1994,"Kansas",2554000,112477,28635,75459,8383
1995,"Kansas",2565000,114558,27404,78855,8299
1996,"Kansas",2572000,109772,25239,78145,6388
1997,"Kansas",2595000,122553,24292,91823,6438
1998,"Kansas",2629000,117114,24984,85329,6801
1999,"Kansas",2654052,107644,21874,79722,6048
2000,"Kansas",2688418,108057,21484,80077,6496
2001,"Kansas",2702125,105537,20514,77038,7985
2002,"Kansas",2711769,100768,19679,73877,7212
2003,"Kansas",2724786,109276,21973,79471,7832
2004,"Kansas",2733697,109771,20146,81115,8510
2005,"Kansas",2748172,104588,19028,76222,9338
2006,"Kansas",2764075,104260,20086,75450,8724
2007,"Kansas",2775997,102961,20461,73900,8600
2008,"Kansas",2802134,94882,19651,67826,7405
2009,"Kansas",2818747,90930,19473,65499,5958
2010,"Kansas",2859143,89109,19315,63774,6020
2011,"Kansas",2870386,88655,18712,63259,6684
2012,"Kansas",2885905,90710,18767,65165,6778
1960,"Kentucky",3038156,33887,11274,18831,3782
1961,"Kentucky",3076000,34003,11271,19402,3330
1962,"Kentucky",3082000,38070,12809,21692,3569
1963,"Kentucky",3095000,41632,13508,24159,3965
1964,"Kentucky",3159000,46527,14571,27430,4526
1965,"Kentucky",3179000,47074,14140,28112,4822
1966,"Kentucky",3183000,51141,15360,28532,7249
1967,"Kentucky",3189000,54712,15399,30325,8988
1968,"Kentucky",3229000,58974,16872,31376,10726
1969,"Kentucky",3232000,64224,18399,34646,11179
1970,"Kentucky",3219311,72814,22662,39002,11150
1971,"Kentucky",3282000,73733,23596,39232,10905
1972,"Kentucky",3299000,66242,21449,35495,9298
1973,"Kentucky",3342000,68349,22716,38072,7561
1974,"Kentucky",3357000,84787,27865,49240,7682
1975,"Kentucky",3396000,101891,32696,60251,8944
1976,"Kentucky",3428000,104029,31886,63683,8460
1977,"Kentucky",3458000,96124,30162,57477,8485
1978,"Kentucky",3498000,97939,30942,58231,8766
1979,"Kentucky",3527000,103548,32082,62431,9035
1980,"Kentucky",3641479,115328,37901,68296,9131
1981,"Kentucky",3661000,118690,38893,71194,8603
1982,"Kentucky",3667000,119304,37736,73020,8548
1983,"Kentucky",3714000,115602,36286,71322,7994
1984,"Kentucky",3723000,99803,29234,63860,6709
1985,"Kentucky",3726000,98428,28739,62491,7198
1986,"Kentucky",3728000,102810,30725,64882,7203
1987,"Kentucky",3727000,109284,31571,70532,7181
1988,"Kentucky",3721000,104362,30747,66711,6904
1989,"Kentucky",3727000,110328,30526,71611,8191
1990,"Kentucky",3685296,107208,28264,71594,7350
1991,"Kentucky",3713000,108430,29576,70885,7969
1992,"Kentucky",3755000,104692,27378,69186,8128
1993,"Kentucky",3789000,105979,28041,69745,8193
1994,"Kentucky",3827000,110725,28718,73449,8558
1995,"Kentucky",3860000,115298,28389,76906,10003
1996,"Kentucky",3884000,110531,26736,73653,10142
1997,"Kentucky",3908000,109819,26638,73487,9694
1998,"Kentucky",3936000,109721,27998,71971,9752
1999,"Kentucky",3960825,104768,25180,70719,8869
2000,"Kentucky",4041769,107723,25308,73141,9274
2001,"Kentucky",4068816,107356,26964,71448,8944
2002,"Kentucky",4089822,108590,26891,72378,9321
2003,"Kentucky",4118189,103370,26034,69083,8253
2004,"Kentucky",4141835,105209,25902,70535,8772
2005,"Kentucky",4172608,105608,26458,70354,8796
2006,"Kentucky",4206074,109428,27867,72197,9364
2007,"Kentucky",4241474,107987,27820,71489,8678
2008,"Kentucky",4269245,114492,29556,77279,7657
2009,"Kentucky",4314113,108914,29880,72938,6096
2010,"Kentucky",4347223,111170,30443,74488,6239
2011,"Kentucky",4366814,119037,32750,79586,6701
2012,"Kentucky",4380415,111826,29587,75571,6668
1960,"Louisiana",3257022,43709,12615,24893,6201
1961,"Louisiana",3321000,37217,11180,20404,5633
1962,"Louisiana",3330000,39787,10891,22759,6137
1963,"Louisiana",3418000,47344,13528,27046,6770
1964,"Louisiana",3468000,56006,16730,31267,8009
1965,"Louisiana",3534000,55418,15983,32277,7158
1966,"Louisiana",3603000,69069,20845,38685,9539
1967,"Louisiana",3662000,77406,24030,43075,10301
1968,"Louisiana",3732000,81831,25303,45981,10547
1969,"Louisiana",3745000,89574,26013,51421,12140
1970,"Louisiana",3643180,105742,32426,59300,14016
1971,"Louisiana",3681000,112014,33567,63661,14786
1972,"Louisiana",3720000,110118,33597,63262,13259
1973,"Louisiana",3764000,112067,36212,63625,12230
1974,"Louisiana",3764000,125855,39362,73633,12860
1975,"Louisiana",3791000,138181,42255,83093,12833
1976,"Louisiana",3841000,149347,43810,93991,11546
1977,"Louisiana",3921000,155785,45701,96843,13241
1978,"Louisiana",3966000,166865,50587,101937,14341
1979,"Louisiana",4026000,188514,56237,115856,16421
1980,"Louisiana",4199542,201106,63997,121298,15811
1981,"Louisiana",4305000,199295,61756,121955,15584
1982,"Louisiana",4362000,202489,62151,125701,14637
1983,"Louisiana",4438000,194636,57359,123492,13785
1984,"Louisiana",4462000,197778,54711,129348,13719
1985,"Louisiana",4481000,218195,59326,141739,17130
1986,"Louisiana",4501000,239444,65751,153818,19875
1987,"Louisiana",4461000,231090,64441,148247,18402
1988,"Louisiana",4420000,222913,63843,139141,19929
1989,"Louisiana",4382000,239235,64184,152209,22842
1990,"Louisiana",4219973,235822,60677,149752,25393
1991,"Louisiana",4252000,232732,60017,148334,24381
1992,"Louisiana",4287000,238438,58574,152938,26926
1993,"Louisiana",4295000,248461,58768,163334,26359
1994,"Louisiana",4315000,245488,55188,164081,26219
1995,"Louisiana",4342000,246132,53481,166667,25984
1996,"Louisiana",4351000,257130,56379,173271,27480
1997,"Louisiana",4352000,243423,53935,163114,26374
1998,"Louisiana",4369000,232378,51210,157507,23661
1999,"Louisiana",4372035,219219,47775,149749,21695
2000,"Louisiana",4468976,211904,46289,144345,21270
2001,"Louisiana",4470368,207693,46451,139555,21687
2002,"Louisiana",4476192,198838,45350,133302,20186
2003,"Louisiana",4493665,193698,44572,129471,19655
2004,"Louisiana",4506685,199153,45359,134080,19714
2005,"Louisiana",4507331,166611,39382,112840,14389
2006,"Louisiana",4287768,174975,46703,112605,15667
2007,"Louisiana",4293204,180516,46932,118291,15293
2008,"Louisiana",4410796,171179,45524,112091,13564
2009,"Louisiana",4492076,172619,46928,114102,11589
2010,"Louisiana",4545343,165667,45437,110260,9970
2011,"Louisiana",4574766,168529,46242,113174,9113
2012,"Louisiana",4601893,162936,42140,112915,7881
1960,"Maine",969265,11228,2702,7334,1192
1961,"Maine",992000,10725,2969,7002,754
1962,"Maine",999000,11622,3073,7653,896
1963,"Maine",982000,11216,2972,7246,998
1964,"Maine",989000,13361,3688,8573,1100
1965,"Maine",993000,13625,4021,8671,933
1966,"Maine",983000,13543,3578,8917,1048
1967,"Maine",973000,15170,4452,9637,1081
1968,"Maine",979000,15835,5029,9497,1309
1969,"Maine",978000,18252,5672,11176,1404
1970,"Maine",993663,19582,6345,11721,1516
1971,"Maine",1003000,22329,7529,13318,1482
1972,"Maine",1029000,25514,8155,15688,1671
1973,"Maine",1028000,27962,10007,16107,1848
1974,"Maine",1047000,36254,13809,20375,2070
1975,"Maine",1059000,39608,14418,22958,2232
1976,"Maine",1070000,41349,14051,25011,2287
1977,"Maine",1085000,41780,13596,25505,2679
1978,"Maine",1091000,42885,13542,26579,2764
1979,"Maine",1097000,45030,12592,29828,2610
1980,"Maine",1123670,46904,13291,31151,2462
1981,"Maine",1132000,45820,14081,29545,2194
1982,"Maine",1133000,41884,11862,27863,2159
1983,"Maine",1146000,40357,11415,27022,1920
1984,"Maine",1156000,38944,10267,26811,1866
1985,"Maine",1164000,40789,10607,28260,1922
1986,"Maine",1174000,38909,9433,27548,1928
1987,"Maine",1187000,40122,9148,28916,2058
1988,"Maine",1206000,41249,9852,28928,2469
1989,"Maine",1222000,42116,9810,30067,2239
1990,"Maine",1227928,43647,10106,31372,2169
1991,"Maine",1235000,44900,11146,31737,2017
1992,"Maine",1235000,41900,10156,29966,1778
1993,"Maine",1239000,37519,8909,26945,1665
1994,"Maine",1240000,38971,8938,28257,1776
1995,"Maine",1241000,39132,9015,28444,1673
1996,"Maine",1243000,40636,9303,29557,1776
1997,"Maine",1242000,37396,8241,27513,1642
1998,"Maine",1244000,36261,8295,26457,1509
1999,"Maine",1253040,34618,7532,25392,1694
2000,"Maine",1274923,32003,6775,23906,1322
2001,"Maine",1284470,33154,6898,24585,1671
2002,"Maine",1294894,32985,6965,24591,1429
2003,"Maine",1309205,32078,6579,24043,1456
2004,"Maine",1314985,31740,6341,24096,1303
2005,"Maine",1318220,31889,6323,24218,1348
2006,"Maine",1321574,33658,6846,25465,1347
2007,"Maine",1317207,32249,6745,24228,1276
2008,"Maine",1316456,32433,6559,24695,1179
2009,"Maine",1318301,31706,6729,23955,1022
2010,"Maine",1327379,32900,7364,24547,989
2011,"Maine",1328544,33829,7865,24886,1078
2012,"Maine",1329192,33361,7461,24905,995
1960,"Maryland",3100689,47092,11360,30024,5708
1961,"Maryland",3188000,52106,12348,33461,6297
1962,"Maryland",3191000,55410,12886,36298,6226
1963,"Maryland",3289000,65169,15968,41387,7814
1964,"Maryland",3432000,74473,18735,46471,9267
1965,"Maryland",3519000,87072,22474,53831,10767
1966,"Maryland",3613000,103066,27254,60270,15542
1967,"Maryland",3682000,126522,37366,71147,18009
1968,"Maryland",3757000,148656,48886,77041,22729
1969,"Maryland",3765000,147891,41970,83610,22311
1970,"Maryland",3922399,157528,41234,94816,21478
1971,"Maryland",4000000,167110,44900,101138,21072
1972,"Maryland",4056000,161328,45090,94571,21667
1973,"Maryland",4070000,168917,46584,100036,22297
1974,"Maryland",4094000,201877,57433,120562,23882
1975,"Maryland",4098000,213002,57912,133908,21182
1976,"Maryland",4144000,208483,56356,134355,17772
1977,"Maryland",4139000,207206,57946,131526,17734
1978,"Maryland",4143000,210530,58907,134024,17599
1979,"Maryland",4149000,228159,62630,145297,20232
1980,"Maryland",4192211,242214,71183,152144,18887
1981,"Maryland",4261000,241625,70740,152405,18480
1982,"Maryland",4265000,220174,60547,142903,16724
1983,"Maryland",4304000,195828,52697,127443,15688
1984,"Maryland",4349000,192325,51484,123567,17274
1985,"Maryland",4392000,199318,52995,126077,20246
1986,"Maryland",4463000,212831,55593,132904,24334
1987,"Maryland",4535000,213589,52718,134485,26386
1988,"Maryland",4644000,227457,54735,141509,31213
1989,"Maryland",4694000,220955,52735,137043,31177
1990,"Maryland",4781468,234842,53549,147407,33886
1991,"Maryland",4860000,255299,56258,163524,35517
1992,"Maryland",4908000,256418,55520,165244,35654
1993,"Maryland",4965000,253647,56246,163471,33930
1994,"Maryland",5006000,259039,52234,168608,38197
1995,"Maryland",5042000,267625,53320,178126,36179
1996,"Maryland",5072000,260231,50331,173817,36083
1997,"Maryland",5094000,244842,47918,166256,30668
1998,"Maryland",5135000,234624,47393,159019,28212
1999,"Maryland",5171634,215973,43230,147296,25447
2000,"Maryland",5296486,213422,39426,145423,28573
2001,"Maryland",5386079,219512,41553,145934,32025
2002,"Maryland",5450525,217105,39765,143320,34020
2003,"Maryland",5512310,209418,38641,134372,36405
2004,"Maryland",5561332,202474,36704,129888,35882
2005,"Maryland",5589599,198483,35922,128491,34070
2006,"Maryland",5615727,195484,37459,127502,30523
2007,"Maryland",5618344,192796,37095,127308,28393
2008,"Maryland",5633597,198165,38849,133983,25333
2009,"Maryland",5699478,182295,36905,125771,19619
2010,"Maryland",5785681,173309,36704,118578,18027
2011,"Maryland",5839572,166846,35823,114951,16072
2012,"Maryland",5884563,162031,33732,113274,15025
1960,"Massachusetts",5148578,60255,15918,33469,10868
1961,"Massachusetts",5234000,73783,19683,39885,14215
1962,"Massachusetts",5161000,80900,21181,44051,15668
1963,"Massachusetts",5218000,86602,23121,44382,19099
1964,"Massachusetts",5338000,101540,28278,49129,24133
1965,"Massachusetts",5348000,108185,29655,49997,28533
